guess1,guess2,avg_candidates,cumsum4,H0(guess1),H1(guess2),H_total
nares,doilt,20.269195189639223,0.24229108849830405,6.066830765753897,4.404689290587494,10.47152005634139
nares,pilot,21.662349676225716,0.24020968239284612,6.066830765753897,4.473700847284995,10.540531613038892
nares,doily,25.823620104841197,0.21754548257786,6.066830765753897,4.266717833363211,10.333548599117108
nares,lotic,21.786617329633057,0.22378970089423372,6.066830765753897,4.497617767010956,10.564448532764853
nares,thiol,23.58418131359852,0.2236355226641998,6.066830765753897,4.569965698512958,10.636796464266855
nares,poult,24.363706444650017,0.23088189947579402,6.066830765753897,4.144166499374059,10.210997265127956
nares,moult,23.94295405488745,0.2223250077089115,6.066830765753897,4.34733848080486,10.414169246558757
nares,tholi,22.996608078939254,0.2152328091273512,6.066830765753897,4.530582888178293,10.59741365393219
nares,poilu,25.879740980573544,0.1998149861239593,6.066830765753897,4.029318480972683,10.09614924672658
nares,dicot,26.517113783533766,0.22779833487511564,6.066830765753897,4.08323061141205,10.150061377165947
soare,linty,24.954671600370027,0.22456059204440332,6.061395399096261,5.341475690321813,11.402871089418074
soare,clint,26.202744372494603,0.2348905334566759,6.061395399096261,5.082021358548956,11.143416757645216
soare,unlit,27.117329633055814,0.20582793709528216,6.061395399096261,5.184677975994726,11.246073375090987
soare,cunit,32.192876965772435,0.22563983965464077,6.061395399096261,5.117013340398703,11.178408739494964
soare,milty,27.834875115633672,0.22132284921369103,6.061395399096261,5.133184937324784,11.194580336421044
soare,tulip,30.175300647548568,0.21214924452667283,6.061395399096261,5.024343447618214,11.085738846714474
soare,culti,31.132901634289237,0.2152328091273512,6.061395399096261,5.047068834112551,11.108464233208812
soare,glint,28.465309898242367,0.2303422756706753,6.061395399096261,4.98096952982072,11.042364928916982
soare,until,27.9995374653099,0.19781066913351836,6.061395399096261,5.202834740682448,11.264230139778709
soare,guilt,32.16219549799568,0.21438482886216467,6.061395399096261,4.9588311557061955,11.020226554802456
tales,porin,20.690255935861856,0.24683934628430465,6.054987761401193,4.7994108813807514,10.854398642781945
tales,corni,20.69349367869257,0.24152019734813443,6.054987761401193,4.834000937265994,10.888988698667188
tales,proin,21.134443416589576,0.2400555041628122,6.054987761401193,4.51267740602431,10.567665167425503
tales,minor,22.004162812210915,0.229031760715387,6.054987761401193,4.7710898383705365,10.826077599771729
tales,nidor,22.38436632747456,0.21654332408263954,6.054987761401193,4.559421476124719,10.614409237525912
tales,prion,21.975485661424607,0.2402867715078631,6.054987761401193,4.5662393333253615,10.621227094726555
tales,round,23.1054579093432,0.2227104532839963,6.054987761401193,4.24249964343645,10.297487404837643
tales,giron,22.884983040394697,0.2331945729263028,6.054987761401193,4.680614899733641,10.735602661134834
tales,doric,22.914431082331173,0.23257786000616712,6.054987761401193,4.549516610345523,10.604504371746717
tales,irony,22.670983657107616,0.21245760098674069,6.054987761401193,4.336684598584157,10.39167235998535
reais,lound,28.280296022201664,0.2064446500154178,6.049777632888323,4.981972894329981,11.031750527218303
reais,donut,29.605920444033302,0.2206290471785384,6.049777632888323,5.003463292863536,11.053240925751858
reais,poult,29.329478877582485,0.22132284921369103,6.049777632888323,5.038195357639354,11.087972990527676
reais,moult,28.714153561517115,0.21754548257786,6.049777632888323,5.162724183380936,11.21250181626926
reais,nould,28.179925994449583,0.20205057045945113,6.049777632888323,5.044264108336334,11.094041741224657
reais,count,31.253006475485662,0.21816219549799568,6.049777632888323,5.0109919085104675,11.060769541398791
reais,mount,30.882516188714153,0.21746839346284305,6.049777632888323,5.079006466104541,11.128784098992863
reais,clout,29.790009250693803,0.20297563983965464,6.049777632888323,4.87906427154252,10.928841904430843
reais,pluot,31.309898242368178,0.2133826703669442,6.049777632888323,4.9263924950127755,10.9761701279011
reais,ponty,31.258556891766883,0.2146931853222325,6.049777632888323,5.151811595568997,11.201589228457319
tears,colin,23.92799876657416,0.23728029602220166,6.032338670239809,5.492336481107146,11.524675151346955
tears,noily,24.9918285538082,0.21893308664816527,6.032338670239809,5.246693101543076,11.279031771782885
tears,doily,26.5354609929078,0.22247918593894542,6.032338670239809,4.982029122935292,11.0143677931751
tears,poind,27.198427382053655,0.23458217699660808,6.032338670239809,4.924831270445105,10.957169940684913
tears,lound,25.360160345359237,0.2202436016034536,6.032338670239809,4.99572267081617,11.02806134105598
tears,nould,25.331483194572925,0.21901017576318224,6.032338670239809,5.015897368531212,11.04823603877102
tears,poilu,29.118717237126116,0.20960530373111316,6.032338670239809,4.898553233136209,10.930891903376018
tears,nicol,25.748381128584644,0.2133826703669442,6.032338670239809,5.273602959356279,11.305941629596088
tears,login,26.316373728029603,0.21816219549799568,6.032338670239809,5.293707711841427,11.326046382081236
tears,dolci,26.566142460684553,0.22124576009867405,6.032338670239809,4.991868845921277,11.024207516161086
